HLCIT_CODE_DIST,DISTRICT,HLCIT_CODE_VDC,VDC_MUNICIPALITY,Sum of HOUSEHOLD
524 2 05 30,Dhadhing,524 2 05 30 5 001,Darkha,622
524 2 05 30,Dhadhing,524 2 05 30 5 002,Katunje,728
524 2 05 30,Dhadhing,524 2 05 30 5 003,Marpak,351
524 2 05 30,Dhadhing,524 2 05 30 5 004,Satyadevi,410
524 2 05 30,Dhadhing,524 2 05 30 5 005,Sertung,817
524 2 05 30,Dhadhing,524 2 05 30 5 007,Dhuwakot,501
524 2 05 30,Dhadhing,524 2 05 30 5 009,Baseri,446
524 2 05 30,Dhadhing,524 2 05 30 5 011,Gumdi,614
524 2 05 30,Dhadhing,524 2 05 30 5 013,Phulkharka,535
524 2 05 30,Dhadhing,524 2 05 30 5 014,Salyankot,88
524 2 05 30,Dhadhing,524 2 05 30 5 016,Jharlang,770
524 2 05 30,Dhadhing,524 2 05 30 5 017,Lapa,853
524 2 05 30,Dhadhing,524 2 05 30 5 018,Ree Gaun,1053
524 2 05 30,Dhadhing,524 2 05 30 5 019,Semjong,847
524 2 05 30,Dhadhing,524 2 05 30 5 020,Tipling,464
524 2 05 30,Dhadhing,524 2 05 30 5 023,Jyamrung,426
524 2 05 30,Dhadhing,524 2 05 30 5 026,Nilkantha,633
524 2 05 30,Dhadhing,524 2 05 30 5 027,Sangkosh,54
524 2 05 30,Dhadhing,524 2 05 30 5 028,Salang,462
524 2 05 30,Dhadhing,524 2 05 30 5 031,Kalleri,410
524 2 05 30,Dhadhing,524 2 05 30 5 032,Khalte,842
524 2 05 30,Dhadhing,524 2 05 30 5 033,Kumpur,266
524 2 05 30,Dhadhing,524 2 05 30 5 034,Nalang,122
524 2 05 30,Dhadhing,524 2 05 30 5 035,Sunaula Bazar,1011
524 2 05 30,Dhadhing,524 2 05 30 5 038,Dhussa,670
524 2 05 30,Dhadhing,524 2 05 30 5 039,Jogimara,495
524 2 05 30,Dhadhing,524 2 05 30 5 040,Mahadevsthan,1243
524 2 05 30,Dhadhing,524 2 05 30 5 041,Baireni,282
524 2 05 30,Dhadhing,524 2 05 30 5 042,Bhumesthan,728
