dist_code,hlcit_code,district,vdc,priority,above_1500,num_hh_damage,pct_damage,target_hh,in_db,map_cd,census_hh_dmg,hh_above_1500,hh_below_1500
524 2 04 21,524 2 04 21 5 028,Ramechhap,Farpu,t,t,531,,,f,-1,,806,94
524 2 04 21,524 2 04 21 5 055,Ramechhap,Tokarpur,t,t,801,,,f,-1,,1292,242
524 2 05 23,524 2 05 23 5 010,Sindhupalchok,Petaku,t,t,894,,,f,-1,,648,134
524 2 05 28,524 2 05 28 5 006,Nuwakot,Sunkhani,t,t,533,,,f,-1,,302,764
524 2 05 28,524 2 05 28 5 034,Nuwakot,Sundaradevi,t,t,511,,,f,-1,,278,744
524 3 07 36,524 3 07 36 5 021,Gorkha,Jaubari,t,t,834,,,f,-1,,980,500
524 2 04 22,524 2 04 22 5 005,Dolakha,Namdu,t,t,1565,1.6325878594249201,2555,t,1.6325878594249201,,1754,846
524 2 05 24,524 2 05 24 5 017,Kavrepalanchok,Pokhari Narayansthan,t,t,607,0.20922570016474465,127,t,0.20922570016474465,,1100,194
524 2 05 30,524 2 05 30 5 013,Dhading,Phulkharka,t,t,1132,1,1132,t,1,,1070,770
524 2 05 24,524 2 05 24 5 018,Kavrepalanchok,Sankhupati Chour,t,t,855,1.0830409356725146,926,t,1.0830409356725146,,1444,
524 2 05 23,524 2 05 23 5 065,Sindhupalchok,Helambu,t,t,1610,0.54037267080745344,870,t,0.54037267080745344,,1312,
524 2 05 30,524 2 05 30 5 019,Dhading,Semjong,t,t,1163,1.0051590713671539,1169,t,1.0051590713671539,,1694,
524 2 05 28,524 2 05 28 5 058,Nuwakot,Kaule,t,t,739,1.2259810554803789,906,t,1.2259810554803789,,1478,
524 2 05 23,524 2 05 23 5 005,Sindhupalchok,Fulpingkatti,t,t,767,2.7157757496740547,2083,t,2.7157757496740547,,1566,
524 2 05 24,524 2 05 24 5 058,Kavrepalanchok,Ugratara Janagal,t,t,1310,,,f,-1,,3268,
524 2 05 29,524 2 05 29 5 004,Rasuwa,Saramthali,t,t,993,,,f,-1,,1642,
524 2 05 24,524 2 05 24 5 076,Kavrepalanchok,Choubas,t,t,509,,,f,-1,,974,
524 2 05 25,524 2 05 25 5 004,Lalitpur,Lele,t,t,461,,,f,-1,,3644,
524 2 05 24,524 2 05 24 5 047,Kavrepalanchok,Chalal Ganeshsthan,t,t,0,1,,f,-1,,1728,
524 2 05 27,524 2 05 27 5 051,Kathmandu,Talkududechour,t,t,170,,,f,-1,,1296,
524 2 04 21,524 2 04 21 5 021,Ramechhap,Kubukasthali,t,t,665,,,f,-1,,1212,
524 2 05 25,524 2 05 25 5 002,Lalitpur,Dalchoki,t,t,69,,,f,-1,,538,
524 2 06 31,524 2 06 31 5 033,Makwanpur,Tistung Deurali,t,t,,1,2105,t,1,,2810,
524 2 06 31,524 2 06 31 5 041,Makwanpur,Sisneri Mahadevsthan,t,t,,1,,f,-1,,1252,226
524 2 04 22,524 2 04 22 5 011,Dolakha,Kabhre,t,t,,1,340,t,1,,2382,
524 2 05 30,524 2 05 30 5 033,Dhading,Kumpur,t,f,,1,1389,t,-2,,532,3712
524 2 05 25,524 2 05 25 5 027,Lalitpur,Bisankhunarayan,t,t,262,,,f,-1,,2094,
524 2 04 22,524 2 04 22 5 006,Dolakha,Syama,t,t,555,,,f,-1,,880,
524 2 04 22,524 2 04 22 5 024,Dolakha,Bhedapu,t,t,1787,,,f,-1,,1050,786
524 2 05 24,524 2 05 24 5 021,Kavrepalanchok,Balting,t,t,538,,,f,-1,,954,54
524 2 05 24,524 2 05 24 5 030,Kavrepalanchok,Khahare Pangu,t,t,544,,,f,-1,,1012,106
524 2 05 24,524 2 05 24 5 043,Kavrepalanchok,Sarada Batase,t,t,572,,,f,-1,,946,76
524 2 05 24,524 2 05 24 5 051,Kavrepalanchok,Baldthali,t,t,726,,,f,-1,,1010,310
524 2 05 28,524 2 05 28 5 002,Nuwakot,Duipipal,t,t,1569,,,f,-1,,976,2162
524 2 05 28,524 2 05 28 5 033,Nuwakot,Shikharbesi,t,t,746,,,f,-1,,1300,192
524 2 05 28,524 2 05 28 5 046,Nuwakot,Dangsing,t,t,625,,,f,-1,,714,536
524 2 05 28,524 2 05 28 5 049,Nuwakot,Taruka,t,t,1127,,,f,-1,,410,1844
524 2 06 31,524 2 06 31 5 008,Makwanpur,Shreepur Chhatiwan,t,f,,1,,f,-4,,,8344
524 3 07 36,524 3 07 36 5 047,Gorkha,Laprak,t,t,589,1.0594227504244482,624,t,1.0594227504244482,,1058,
524 2 05 23,524 2 05 23 5 034,Sindhupalchok,Syaule Bazar,t,t,1980,0.43686868686868685,865,t,0.43686868686868685,,1666,
524 2 05 23,524 2 05 23 5 067,Sindhupalchok,Gunsakot,t,t,1082,0.11090573012939002,120,t,0.11090573012939002,,898,
524 2 05 23,524 2 05 23 5 003,Sindhupalchok,Gati,t,t,2069,0.62832286128564518,1300,t,0.62832286128564518,,1748,
524 2 05 25,524 2 05 25 5 036,Lalitpur,Thaiba,t,f,491,,,f,-4,,,3964
524 2 05 24,524 2 05 24 5 007,Kavrepalanchok,Madan Kundari,t,f,555,,,f,-4,,,956
524 2 05 24,524 2 05 24 5 073,Kavrepalanchok,Panchkhal,t,f,10039,,,f,-4,,,5532
524 2 05 25,524 2 05 25 5 031,Lalitpur,Siddhipur,t,f,367,,,f,-4,,,2968
524 2 05 28,524 2 05 28 5 029,Nuwakot,Kabilas,t,f,863,,,f,-4,,,1726
524 2 05 30,524 2 05 30 5 008,Dhading,Salyantar,t,f,2102,,,f,-4,,,3582
524 2 06 31,524 2 06 31 5 010,Makwanpur,Dhiyal,t,f,0,1,,f,-4,,,2180
524 3 07 36,524 3 07 36 5 054,Gorkha,Baguwa,t,f,605,,,f,-4,,,988
524 3 07 36,524 3 07 36 5 059,Gorkha,Tandrang,t,f,1181,,,f,-4,,,2076
524 2 05 30,524 2 05 30 5 015,Dhading,Tripureswor,t,f,950,1.0263157894736843,975,t,-2,,,1638
524 2 04 20,524 2 04 20 5 021,Sindhuli,Kyaneshwor,t,f,352,,,f,-4,,,3234
524 2 04 20,524 2 04 20 5 029,Sindhuli,Belghari,t,f,542,,,f,-4,,,1498
524 2 04 20,524 2 04 20 5 037,Sindhuli,Dadiguranshe,t,f,309,,,f,-4,,,1946
524 2 04 20,524 2 04 20 5 042,Sindhuli,Mahendra jhyadi,t,f,394,,,f,-4,,,1924
524 2 05 23,524 2 05 23 5 052,Sindhupalchok,Sipa Pokhare,t,f,1956,,,f,-4,,,1666
524 2 05 25,524 2 05 25 5 037,Lalitpur,Harisiddhi,t,f,679,,,f,-4,,,5474
524 2 05 25,524 2 05 25 5 039,Lalitpur,Thecho,t,f,583,,,f,-4,,,4704
524 3 07 36,524 3 07 36 5 007,Gorkha,Namjung,t,f,897,,,f,-4,,,1618
524 2 04 20,524 2 04 20 5 008,Sindhuli,Dudhouli,t,f,277,,,f,-4,,,3516
524 2 04 20,524 2 04 20 5 010,Sindhuli,Ladabhir,t,f,0,1,,f,-4,,,3170
524 2 04 20,524 2 04 20 5 033,Sindhuli,Nipane,t,f,266,,,f,-4,,,1404
524 2 04 20,524 2 04 20 5 041,Sindhuli,Kalpabrishykha,t,f,0,1,,f,-4,,,3188
524 2 04 21,524 2 04 21 5 045,Ramechhap,Bhatauli,t,f,0,1,,f,-4,,,1640
524 2 05 25,524 2 05 25 5 032,Lalitpur,Imadol,t,f,1714,,,f,-4,,,13796
524 2 05 26,524 2 05 26 5 007,Bhaktapur,Duwakot,t,f,1060,,,f,-4,,,4824
